"perc","sp","tx"
0.704140563338755,"1",0
0.6988439554003,"1",0
0.69107335794565,"1",0
0.686127667807984,"1",0
0.688320658836075,"1",0
0.710352735916642,"1",0
0.698919834839306,"1",0
0.669186442657289,"1",1
0.650742709491958,"1",1
0.636384172599128,"1",1
0.6424201849864,"1",1
0.668072031309001,"1",1
0.648906664465595,"1",1
0.654149025803604,"1",1
0.695117523247766,"2",0
0.710898346695448,"2",0
0.724960114210505,"2",0
0.717275237631451,"2",0
0.697910388001466,"2",0
0.723934069008298,"2",0
0.715292723681713,"2",0
0.676387713015953,"2",1
0.668083460312153,"2",1
0.664267820922556,"2",1
0.663876291359397,"2",1
0.686505657380357,"2",1
0.660377025901244,"2",1
0.658085723660472,"2",1
