"dvr","ind","sp","tx"
8.03525642120109,1,"1",0
7.9083563214185,1,"1",0
8.11658593575834,1,"1",0
8.12245524366466,1,"1",0
8.09570746334309,1,"1",0
7.96675861905794,1,"1",0
8.13075589174396,1,"1",0
8.16099040472668,1,"1",0
7.9978465266815,1,"1",0
8.04907175137187,1,"1",0
7.97772425754632,1,"1",0
7.93251052747557,1,"1",0
7.96580563469939,1,"1",0
7.85350329318229,1,"1",0
7.90647923786144,1,"1",0
7.95706693127536,1,"1",0
7.97645125771322,1,"1",0
7.96405557281664,1,"1",0
7.78551692721071,1,"1",0
7.84638496633973,1,"1",0
7.90701740167962,1,"1",0
7.97887684990334,1,"1",0
8.29518458488037,1,"2",0
8.36274013767799,1,"2",0
8.255366625084,1,"2",0
8.29093982245947,1,"2",0
8.34466813245774,1,"2",0
8.37827537765129,1,"2",0
8.25636533243013,1,"2",0
8.31748440093408,1,"2",0
8.34325385070013,1,"2",0
8.26441015985963,1,"2",0
8.31068266159272,1,"2",0
8.27320043739419,1,"2",0
8.26912830510123,1,"2",0
8.33326906020528,1,"2",0
8.308801459057,1,"2",0
8.1310217134931,1,"2",0
8.16440047604003,1,"2",0
8.34412279235374,1,"2",0
8.2105413423223,1,"2",0
8.31135334120415,1,"2",0
8.25167320971093,1,"2",0
8.24847314392012,1,"2",0
10.2116176235108,1,"1",1
10.3256223258922,1,"1",1
10.1680836357266,1,"1",1
10.1727625829117,1,"1",1
10.2441179882445,1,"1",1
10.1220647552567,1,"1",1
10.321211255768,1,"1",1
10.4788954820602,1,"1",1
10.371807208545,1,"1",1
10.3206767093409,1,"1",1
10.4921404450732,1,"1",1
10.5224834611618,1,"1",1
10.4089278796753,1,"1",1
10.3164223242999,1,"1",1
10.2587308543903,1,"1",1
10.249323242112,1,"1",1
10.362050173815,1,"1",1
10.2552396248147,1,"1",1
10.225181633529,1,"1",1
10.4051608151604,1,"1",1
10.3660677028696,1,"1",1
10.2823392107878,1,"1",1
10.7723368887771,1,"2",1
10.4550422338459,1,"2",1
10.4849203073876,1,"2",1
10.6653619595245,1,"2",1
10.733540450442,1,"2",1
10.630647215556,1,"2",1
10.5055268356163,1,"2",1
10.686348920908,1,"2",1
10.8164746506646,1,"2",1
10.6789041393493,1,"2",1
10.567477844535,1,"2",1
10.8625261657069,1,"2",1
10.7803256130446,1,"2",1
10.6116412926719,1,"2",1
10.7130985142371,1,"2",1
10.7435014074408,1,"2",1
10.484975524144,1,"2",1
10.9190431384851,1,"2",1
10.5272991299605,1,"2",1
10.7540986325075,1,"2",1
10.7530824984346,1,"2",1
10.569346673287,1,"2",1
8.95994506843579,2,"1",0
9.02225406322103,2,"1",0
8.919310115658,2,"1",0
9.18923030249598,2,"1",0
8.96712408355056,2,"1",0
9.04519656894487,2,"1",0
8.98745084413092,2,"1",0
8.78141853666803,2,"1",0
9.0307792770889,2,"1",0
8.97502862096436,2,"1",0
8.96487577052282,2,"1",0
8.92824359961974,2,"1",0
8.94437832864001,2,"1",0
9.23219378853094,2,"1",0
8.87168145215773,2,"1",0
9.0194481045363,2,"1",0
9.13846270634547,2,"1",0
9.0684223917157,2,"1",0
8.90267708423021,2,"1",0
8.9602301727627,2,"1",0
9.02355978468479,2,"1",0
9.06729742968147,2,"1",0
9.29732433365742,2,"2",0
9.54605300189485,2,"2",0
9.11120424069824,2,"2",0
9.28530050018029,2,"2",0
9.23396112181126,2,"2",0
9.26514391409345,2,"2",0
9.36454623252589,2,"2",0
9.22424143992745,2,"2",0
9.48697933898686,2,"2",0
9.39774140507779,2,"2",0
9.09032180606962,2,"2",0
